locality,region,pop,proper
hazleton,pa,30045,Hazleton
hegins,pa,2490,Hegins
heidelberg,pa,1273,Heidelberg
heilwood,pa,234,Heilwood
hellertown,pa,6109,Hellertown
henryville,pa,2824,Henryville
hereford,pa,1541,Hereford
herminie,pa,1678,Herminie
hermitage,pa,16189,Hermitage
herndon,pa,350,Herndon
herrick-center,pa,81,Herrick Center
hershey,pa,17023,Hershey
hesston,pa,806,Hesston
hibbs,pa,293,Hibbs
hickory,pa,1293,Hickory
hidden-valley,pa,82,Hidden Valley
highspire,pa,2737,Highspire
hiller,pa,848,Hiller
hilliards,pa,1066,Hilliards
hillsdale,pa,144,Hillsdale
hillsgrove,pa,139,Hillsgrove
hillsville,pa,350,Hillsville
hilltown,pa,281,Hilltown
holbrook,pa,615,Holbrook
hollidaysburg,pa,5597,Hollidaysburg
hollsopple,pa,2647,Hollsopple
holmes,pa,3051,Holmes
holtwood,pa,3445,Holtwood
home,pa,1737,Home
homer-city,pa,1719,Homer City
homestead,pa,2882,Homestead
homewood,pa,103,Homewood
honesdale,pa,4484,Honesdale
honey-brook,pa,1901,Honey Brook
honey-grove,pa,833,Honey Grove
hookstown,pa,129,Hookstown
hooversville,pa,621,Hooversville
hop-bottom,pa,308,Hop Bottom
hopewell,pa,188,Hopewell
hopwood,pa,2836,Hopwood
horsham,pa,17027,Horsham
hostetter,pa,62,Hostetter
houston,pa,1169,Houston
houtzdale,pa,760,Houtzdale
howard,pa,672,Howard
hughestown,pa,1336,Hughestown
hughesville,pa,2145,Hughesville
hulmeville,pa,981,Hulmeville
hummelstown,pa,4540,Hummelstown
hunker,pa,310,Hunker
hunlock-creek,pa,5405,Hunlock Creek
huntingdon,pa,6980,Huntingdon
huntingdon-valley,pa,23244,Huntingdon Valley
huntington-mills,pa,221,Huntington Mills
hustontown,pa,1317,Hustontown
hutchinson,pa,505,Hutchinson
hyde,pa,354,Hyde
hyde-park,pa,506,Hyde Park
hydetown,pa,525,Hydetown
hyndman,pa,858,Hyndman
ickesburg,pa,1034,Ickesburg
imler,pa,1311,Imler
immaculata,pa,718,Immaculata
imperial,pa,6901,Imperial
indian-head,pa,65,Indian Head
indian-lake,pa,390,Indian Lake
indiana,pa,14224,Indiana
indianola,pa,437,Indianola
industry,pa,1815,Industry
ingram,pa,3346,Ingram
intercourse,pa,39,Intercourse
irvine,pa,428,Irvine
irvona,pa,545,Irvona
irwin,pa,3869,Irwin
isabella,pa,237,Isabella
ivyland,pa,956,Ivyland
jackson,pa,165,Jackson
jackson-center,pa,190,Jackson Center
jacobs-creek,pa,204,Jacobs Creek
jacobus,pa,1825,Jacobus
james-city,pa,194,James City
james-creek,pa,1388,James Creek
jamestown,pa,579,Jamestown
jamison,pa,9700,Jamison
jeannette,pa,8721,Jeannette
jeddo,pa,109,Jeddo
jefferson,pa,655,Jefferson
jefferson-hills,pa,12395,Jefferson Hills
jenkintown,pa,4722,Jenkintown
jenners,pa,702,Jenners
jennerstown,pa,678,Jennerstown
jermyn,pa,2144,Jermyn
jerome,pa,676,Jerome
jersey-mills,pa,25,Jersey Mills
jersey-shore,pa,4140,Jersey Shore
jessup,pa,4508,Jessup
jim-thorpe,pa,4551,Jim Thorpe
joffre,pa,70,Joffre
johnsonburg,pa,2385,Johnsonburg
johnstown,pa,18240,Johnstown
jones-mills,pa,160,Jones Mills
jonestown,pa,1640,Jonestown
josephine,pa,315,Josephine
julian,pa,2541,Julian
junedale,pa,163,Junedale
juniata-terrace,pa,562,Juniata Terrace
kane,pa,3585,Kane
karns-city,pa,171,Karns City
karthaus,pa,1056,Karthaus
keisterville,pa,719,Keisterville
kelayres,pa,465,Kelayres
kempton,pa,3356,Kempton
kenhorst,pa,2992,Kenhorst
kennerdell,pa,1725,Kennerdell
kennett-square,pa,5936,Kennett Square
kent,pa,61,Kent
kersey,pa,3323,Kersey
kimberton,pa,0,Kimberton
king-of-prussia,pa,28826,King Of Prussia
kingsley,pa,1580,Kingsley
kingston,pa,13344,Kingston
kintnersville,pa,2126,Kintnersville
kinzers,pa,2545,Kinzers
kirkwood,pa,3610,Kirkwood
kistler,pa,290,Kistler
kittanning,pa,3890,Kittanning
kleinfeltersville,pa,14,Kleinfeltersville
klingerstown,pa,744,Klingerstown
knox,pa,1097,Knox
knox-dale,pa,94,Knox Dale
knoxville,pa,678,Knoxville
koppel,pa,705,Koppel
kossuth,pa,143,Kossuth
kresgeville,pa,0,Kresgeville
kulpmont,pa,2744,Kulpmont
kunkletown,pa,9988,Kunkletown
kutztown,pa,4165,Kutztown
kylertown,pa,368,Kylertown
la-belle,pa,2190,La Belle
la-jose,pa,455,La Jose
la-plume,pa,58,La Plume
laceyville,pa,363,Laceyville
lackawaxen,pa,895,Lackawaxen
lafayette-hill,pa,11194,Lafayette Hill
laflin,pa,1449,Laflin
lairdsville,pa,56,Lairdsville
lake-ariel,pa,12839,Lake Ariel
lake-city,pa,2911,Lake City
lake-como,pa,122,Lake Como
lake-harmony,pa,404,Lake Harmony
lake-lynn,pa,811,Lake Lynn
lake-winola,pa,107,Lake Winola
lakeville,pa,1379,Lakeville
lakewood,pa,385,Lakewood
lamar,pa,289,Lamar
lancaster,pa,57646,Lancaster
landenberg,pa,10636,Landenberg
landingville,pa,136,Landingville
landisburg,pa,222,Landisburg
landisville,pa,7496,Landisville
lanesboro,pa,497,Lanesboro
langeloth,pa,447,Langeloth
langhorne,pa,1639,Langhorne
langhorne-manor,pa,1492,Langhorne Manor
lansdale,pa,18985,Lansdale
lansdowne,pa,11061,Lansdowne
lanse,pa,70,Lanse
lansford,pa,4174,Lansford
laporte,pa,315,Laporte
larimer,pa,37,Larimer
larksville,pa,4238,Larksville
latrobe,pa,8020,Latrobe
lattimer-mines,pa,409,Lattimer Mines
laughlintown,pa,269,Laughlintown
laurel-mountain,pa,143,Laurel Mountain
laurel-run,pa,561,Laurel Run
laureldale,pa,4263,Laureldale
laurelton,pa,162,Laurelton
laurys-station,pa,728,Laurys Station
lavelle,pa,27,Lavelle
lawn,pa,259,Lawn
lawrence,pa,1146,Lawrence
lawrenceville,pa,693,Lawrenceville
lawton,pa,215,Lawton
le-raysville,pa,698,Le Raysville
lebanon,pa,26662,Lebanon
leck-kill,pa,224,Leck Kill
leckrone,pa,202,Leckrone
leechburg,pa,2132,Leechburg
leeper,pa,1094,Leeper
leesport,pa,1947,Leesport
leetsdale,pa,1154,Leetsdale
lehighton,pa,5290,Lehighton
lehman,pa,0,Lehman
leisenring,pa,553,Leisenring
lemont,pa,1211,Lemont
lemont-furnace,pa,2294,Lemont Furnace
lemoyne,pa,4689,Lemoyne
lenhartsville,pa,178,Lenhartsville
lenni,pa,625,Lenni
lenoxville,pa,444,Lenoxville
leola,pa,10730,Leola
leraysville,pa,290,LeRaysville
levittown,pa,65311,Levittown
lewis-run,pa,577,Lewis Run
lewisberry,pa,380,Lewisberry
lewisburg,pa,5333,Lewisburg
lewistown,pa,8540,Lewistown
liberty,pa,2325,Liberty
lickingville,pa,51,Lickingville
ligonier,pa,1503,Ligonier
lilly,pa,872,Lilly
limekiln,pa,62,Limekiln
lincoln,pa,919,Lincoln
lincoln-university,pa,11279,Lincoln University
linden,pa,2860,Linden
line-lexington,pa,314,Line Lexington
linesville,pa,955,Linesville
lititz,pa,9559,Lititz
little-meadows,pa,247,Little Meadows
littlestown,pa,4802,Littlestown
liverpool,pa,961,Liverpool
llewellyn,pa,156,Llewellyn
lock-haven,pa,8595,Lock Haven
locust-gap,pa,363,Locust Gap
locustdale,pa,275,Locustdale
loganton,pa,468,Loganton
loganville,pa,1448,Loganville
long-branch,pa,418,Long Branch
long-pond,pa,5476,Long Pond
lopez,pa,176,Lopez
lorain,pa,589,Lorain
loretto,pa,1182,Loretto
lost-creek,pa,250,Lost Creek
lowber,pa,196,Lowber
lower-burrell,pa,11682,Lower Burrell
loyalhanna,pa,1006,Loyalhanna
loysburg,pa,173,Loysburg
loysville,pa,2962,Loysville
lucernemines,pa,532,Lucernemines
lucinda,pa,1365,Lucinda
ludlow,pa,212,Ludlow
lumberville,pa,126,Lumberville
lurgan,pa,36,Lurgan
luthersburg,pa,885,Luthersburg
luxor,pa,951,Luxor
luzerne,pa,2720,Luzerne
lykens,pa,1869,Lykens
lyndora,pa,999,Lyndora
lyon-station,pa,517,Lyon Station
lyons,pa,443,Lyons
mackeyville,pa,137,Mackeyville
macungie,pa,3255,Macungie
madera,pa,923,Madera
madison,pa,364,Madison
madisonburg,pa,165,Madisonburg
mahaffey,pa,322,Mahaffey
mahanoy-city,pa,3509,Mahanoy City
mahanoy-plane,pa,141,Mahanoy Plane
mainesburg,pa,726,Mainesburg
malvern,pa,3422,Malvern
manchester,pa,2794,Manchester
manheim,pa,5030,Manheim
manns-choice,pa,313,Manns Choice
manor,pa,3568,Manor
manorville,pa,377,Manorville
mansfield,pa,3161,Mansfield
mapleton,pa,415,Mapleton
mapleton-depot,pa,1490,Mapleton Depot
mar-lin,pa,345,Mar Lin
marble,pa,419,Marble
marcus-hook,pa,2445,Marcus Hook
marianna,pa,395,Marianna
marienville,pa,4059,Marienville
marietta,pa,2970,Marietta
marion,pa,855,Marion
marion-center,pa,406,Marion Center
marion-heights,pa,559,Marion Heights
marklesburg,pa,200,Marklesburg
markleton,pa,550,Markleton
markleysburg,pa,242,Markleysburg
mars,pa,1443,Mars
marshalls-creek,pa,1405,Marshalls Creek
marsteller,pa,83,Marsteller
martin,pa,173,Martin
martins-creek,pa,280,Martins Creek
martinsburg,pa,1863,Martinsburg
mary-d,pa,229,Mary D
marysville,pa,2663,Marysville
masontown,pa,3235,Masontown
matamoras,pa,2409,Matamoras
mather,pa,487,Mather
mattawana,pa,286,Mattawana
maxatawny,pa,75,Maxatawny
mayfield,pa,1754,Mayfield
mayport,pa,1604,Mayport
maytown,pa,168,Maytown
mcadoo,pa,3721,Mcadoo
mcalisterville,pa,3145,McAlisterville
mcclellandtown,pa,2393,McClellandtown
mcclure,pa,888,McClure
mcconnellsburg,pa,1143,McConnellsburg
mcdonald,pa,2043,McDonald
mcelhattan,pa,153,McElhattan
mcewensville,pa,292,McEwensville
mcgrann,pa,221,McGrann
mcintyre,pa,140,McIntyre
mckean,pa,481,McKean
mckees-rocks,pa,5848,McKees Rocks
mckeesport,pa,38827,Mckeesport
mcknightstown,pa,23,McKnightstown
mcsherrystown,pa,3091,McSherrystown
mcveytown,pa,342,McVeytown
meadow-lands,pa,102,Meadow Lands
meadville,pa,12757,Meadville
mechanicsburg,pa,9520,Mechanicsburg
mechanicsville,pa,459,Mechanicsville
media,pa,5877,Media
mehoopany,pa,1922,Mehoopany
melcroft,pa,226,Melcroft
mentcle,pa,141,Mentcle
mercer,pa,1972,Mercer
mercersburg,pa,1502,Mercersburg
merion-station,pa,5594,Merion Station
merrittstown,pa,336,Merrittstown
mertztown,pa,3998,Mertztown
meshoppen,pa,329,Meshoppen
mexico,pa,32,Mexico
meyersdale,pa,2055,Meyersdale
middleburg,pa,1325,Middleburg
middlebury-center,pa,1122,Middlebury Center
middleport,pa,364,Middleport
middletown,pa,9591,Middletown
midland,pa,2408,Midland
midway,pa,919,Midway
mifflin,pa,526,Mifflin
mifflinburg,pa,3460,Mifflinburg
mifflintown,pa,832,Mifflintown
mifflinville,pa,1134,Mifflinville
milan,pa,976,Milan
milanville,pa,445,Milanville
mildred,pa,464,Mildred
milesburg,pa,1077,Milesburg
milford,pa,1126,Milford
milford-square,pa,316,Milford Square
mill-creek,pa,284,Mill Creek
mill-hall,pa,1480,Mill Hall
mill-run,pa,1585,Mill Run
mill-village,pa,390,Mill Village
millbourne,pa,1208,Millbourne
millersburg,pa,2543,Millersburg
millerstown,pa,692,Millerstown
millersville,pa,9183,Millersville
millerton,pa,2225,Millerton
millheim,pa,830,Millheim
millmont,pa,2051,Millmont
millrift,pa,64,Millrift
mills,pa,118,Mills
millsboro,pa,69,Millsboro
millvale,pa,3334,Millvale
millville,pa,983,Millville
milnesville,pa,101,Milnesville
milroy,pa,3273,Milroy
milton,pa,6583,Milton
mineral-point,pa,2011,Mineral Point
mineral-springs,pa,87,Mineral Springs
minersville,pa,4386,Minersville
mingoville,pa,31,Mingoville
modena,pa,549,Modena
mohnton,pa,2916,Mohnton
mohrsville,pa,4550,Mohrsville
monaca,pa,5560,Monaca
monessen,pa,6826,Monessen
monongahela,pa,4133,Monongahela
monroe,pa,488,Monroe
monroeton,pa,1857,Monroeton
monroeville,pa,28398,Monroeville
mont-alto,pa,1580,Mont Alto
mont-clare,pa,1543,Mont Clare
montandon,pa,617,Montandon
montgomery,pa,1564,Montgomery
montgomeryville,pa,265,Montgomeryville
montoursville,pa,4727,Montoursville
montrose,pa,1289,Montrose
moosic,pa,5963,Moosic
morgan,pa,238,Morgan
morgantown,pa,5791,Morgantown
morris,pa,808,Morris
morris-run,pa,193,Morris Run
morrisdale,pa,3826,Morrisdale
morrisville,pa,9784,Morrisville
morton,pa,2763,Morton
moscow,pa,2028,Moscow
moshannon,pa,494,Moshannon
mount-aetna,pa,152,Mount Aetna
mount-bethel,pa,3964,Mount Bethel
mount-braddock,pa,399,Mount Braddock
mount-carbon,pa,90,Mount Carbon
mount-carmel,pa,5712,Mount Carmel
mount-gretna,pa,190,Mount Gretna
mount-holly-springs,pa,2014,Mount Holly Springs
mount-jewett,pa,844,Mount Jewett
mount-joy,pa,8317,Mount Joy
mount-morris,pa,1509,Mount Morris
mount-oliver,pa,3349,Mount Oliver
mount-penn,pa,3236,Mount Penn
mount-pleasant,pa,4222,Mount Pleasant
mount-pleasant-mills,pa,3165,Mount Pleasant Mills
mount-pocono,pa,3108,Mount Pocono
mount-union,pa,2290,Mount Union
mount-wolf,pa,1366,Mount Wolf
mountain-top,pa,16366,Mountain Top
mountainhome,pa,775,Mountainhome
mountville,pa,3007,Mountville
muir,pa,410,Muir
muncy,pa,2430,Muncy
muncy-valley,pa,982,Muncy Valley
munhall,pa,10649,Munhall
munson,pa,362,Munson
murrysville,pa,20877,Murrysville
muse,pa,521,Muse
myerstown,pa,3100,Myerstown
nanticoke,pa,10625,Nanticoke
nanty-glo,pa,3657,Nanty Glo
narberth,pa,4498,Narberth
narvon,pa,6924,Narvon
natrona-heights,pa,11099,Natrona Heights
nazareth,pa,6025,Nazareth
needmore,pa,1810,Needmore
neelyton,pa,207,Neelyton
neffs,pa,271,Neffs
nelson,pa,48,Nelson
nemacolin,pa,943,Nemacolin
nescopeck,pa,1482,Nescopeck
nesquehoning,pa,3362,Nesquehoning
new-albany,pa,254,New Albany
new-alexandria,pa,495,New Alexandria
new-baltimore,pa,137,New Baltimore
new-beaver,pa,1361,New Beaver
new-bedford,pa,391,New Bedford
new-berlin,pa,799,New Berlin
new-berlinville,pa,753,New Berlinville
new-bethlehem,pa,971,New Bethlehem
new-bloomfield,pa,4428,New Bloomfield
new-brighton,pa,5602,New Brighton
new-britain,pa,2821,New Britain
new-buffalo,pa,124,New Buffalo
new-castle,pa,21750,New Castle
new-centerville,pa,126,New Centerville
new-columbia,pa,3107,New Columbia
new-columbus,pa,222,New Columbus
new-cumberland,pa,7556,New Cumberland
new-derry,pa,674,New Derry
new-eagle,pa,2041,New Eagle
new-enterprise,pa,2193,New Enterprise
new-florence,pa,669,New Florence
new-freedom,pa,5100,New Freedom
new-freeport,pa,712,New Freeport
new-galilee,pa,327,New Galilee
new-geneva,pa,120,New Geneva
new-germantown,pa,123,New Germantown
new-holland,pa,5749,New Holland
new-hope,pa,2627,New Hope
new-kensington,pa,12090,New Kensington
new-lebanon,pa,184,New Lebanon
new-milford,pa,811,New Milford
new-millport,pa,286,New Millport
new-morgan,pa,55,New Morgan
new-oxford,pa,1876,New Oxford
new-paris,pa,191,New Paris
new-park,pa,1460,New Park
new-philadelphia,pa,1061,New Philadelphia
new-providence,pa,5154,New Providence
new-ringgold,pa,252,New Ringgold
new-salem,pa,824,New Salem
new-stanton,pa,2318,New Stanton
new-tripoli,pa,5612,New Tripoli
new-washington,pa,52,New Washington
new-wilmington,pa,2106,New Wilmington
newburg,pa,366,Newburg
newell,pa,508,Newell
newfoundland,pa,2475,Newfoundland
newmanstown,pa,5680,Newmanstown
newport,pa,1492,Newport
newry,pa,235,Newry
newton-hamilton,pa,195,Newton Hamilton
newtown,pa,2275,Newtown
newtown-square,pa,21297,Newtown Square
newville,pa,1381,Newville
nicholson,pa,697,Nicholson
nicktown,pa,996,Nicktown
nineveh,pa,62,Nineveh
normalville,pa,2250,Normalville
norristown,pa,35914,Norristown
north-apollo,pa,1245,North Apollo
north-belle-vernon,pa,1860,North Belle Vernon
north-bend,pa,548,North Bend
north-braddock,pa,4263,North Braddock
north-catasauqua,pa,2961,North Catasauqua
north-charleroi,pa,1296,North Charleroi
north-east,pa,4074,North East
north-irwin,pa,817,North Irwin
north-springfield,pa,174,North Springfield
north-versailles,pa,10193,North Versailles
north-wales,pa,3427,North Wales
north-washington,pa,221,North Washington
north-york,pa,2251,North York
northampton,pa,10358,Northampton
northern-cambria,pa,3525,Northern Cambria
northpoint,pa,17,Northpoint
northumberland,pa,3893,Northumberland
norvelt,pa,271,Norvelt
norwood,pa,5913,Norwood
nottingham,pa,5981,Nottingham
noxen,pa,1448,Noxen
nu-mine,pa,309,Nu Mine
nuangola,pa,671,Nuangola
numidia,pa,65,Numidia
nuremberg,pa,335,Nuremberg
oak-ridge,pa,253,Oak Ridge
oakdale,pa,1467,Oakdale
oakland,pa,560,Oakland
oakland-mills,pa,123,Oakland Mills
oakmont,pa,6765,Oakmont
oaks,pa,270,Oaks
ohiopyle,pa,36,Ohiopyle
ohioville,pa,3328,Ohioville
oil-city,pa,9520,Oil City
oklahoma,pa,787,Oklahoma
olanta,pa,594,Olanta
old-forge,pa,8538,Old Forge
oley,pa,4615,Oley
oliveburg,pa,156,Oliveburg
oliver,pa,154,Oliver
olyphant,pa,5384,Olyphant
oneida,pa,373,Oneida
ono,pa,23,Ono
orangeville,pa,480,Orangeville
orbisonia,pa,450,Orbisonia
orefield,pa,8593,Orefield
oreland,pa,7868,Oreland
orrstown,pa,213,Orrstown
orrtanna,pa,2870,Orrtanna
orviston,pa,97,Orviston
orwigsburg,pa,3005,Orwigsburg
osceola,pa,900,Osceola
osceola-mills,pa,1033,Osceola Mills
osterburg,pa,1350,Osterburg
oswayo,pa,131,Oswayo
ottsville,pa,2607,Ottsville
oxford,pa,5754,Oxford
paint,pa,900,Paint
palm,pa,340,Palm
palmerton,pa,5649,Palmerton
palmyra,pa,7784,Palmyra
palo-alto,pa,968,Palo Alto
paoli,pa,7960,Paoli
paradise,pa,4277,Paradise
parker,pa,695,Parker
parker-ford,pa,148,Parker Ford
parkesburg,pa,3897,Parkesburg
parkhill,pa,181,Parkhill
parkside,pa,2313,Parkside
parryville,pa,418,Parryville
patterson-heights,pa,630,Patterson Heights
patton,pa,1709,Patton
paupack,pa,546,Paupack
paxinos,pa,2485,Paxinos
paxtang,pa,1642,Paxtang
paxtonville,pa,125,Paxtonville
peach-bottom,pa,4073,Peach Bottom
peckville,pa,5082,Peckville
pen-argyl,pa,3493,Pen Argyl
penbrook,pa,3272,Penbrook
penfield,pa,1370,Penfield
penn,pa,433,Penn
penn-lake-park,pa,365,Penn Lake Park
penn-run,pa,1634,Penn Run
penndel,pa,2523,Penndel
penns-creek,pa,539,Penns Creek
pennsburg,pa,3945,Pennsburg
pennsbury-village,pa,667,Pennsbury Village
pennsylvania-furnace,pa,1405,Pennsylvania Furnace
pequea,pa,2229,Pequea
perkasie,pa,9130,Perkasie
perkiomenville,pa,5423,Perkiomenville
perryopolis,pa,1679,Perryopolis
petersburg,pa,416,Petersburg
petrolia,pa,177,Petrolia
philadelphia,pa,1589480,Philadelphia
philipsburg,pa,2759,Philipsburg
phoenixville,pa,19071,Phoenixville
picture-rocks,pa,638,Picture Rocks
pillow,pa,292,Pillow
pine-grove,pa,2055,Pine Grove
pine-grove-mills,pa,1030,Pine Grove Mills
pineville,pa,568,Pineville
pipersville,pa,6423,Pipersville
pitcairn,pa,3065,Pitcairn
pitman,pa,928,Pitman
pittsburgh,pa,305441,Pittsburgh
pittsfield,pa,1940,Pittsfield
pittston,pa,7606,Pittston
plainfield,pa,242,Plainfield
platea,pa,440,Platea
pleasant-hall,pa,601,Pleasant Hall
pleasant-hills,pa,8401,Pleasant Hills
pleasant-mount,pa,1252,Pleasant Mount
pleasant-unity,pa,717,Pleasant Unity
pleasantville,pa,838,Pleasantville
plum,pa,26945,Plum
plumville,pa,253,Plumville
plymouth,pa,5760,Plymouth
plymouth-meeting,pa,15868,Plymouth Meeting
pocono-lake,pa,3156,Pocono Lake
pocono-manor,pa,189,Pocono Manor
pocono-pines,pa,597,Pocono Pines
pocono-summit,pa,2436,Pocono Summit
point-marion,pa,1139,Point Marion
point-pleasant,pa,117,Point Pleasant
polk,pa,631,Polk
pomeroy,pa,142,Pomeroy
port-allegany,pa,2115,Port Allegany
port-carbon,pa,1812,Port Carbon
port-clinton,pa,279,Port Clinton
port-matilda,pa,587,Port Matilda
port-royal,pa,803,Port Royal
port-trevorton,pa,2402,Port Trevorton
port-vue,pa,3663,Port Vue
portage,pa,2431,Portage
portersville,pa,229,Portersville
portland,pa,488,Portland
pottersdale,pa,52,Pottersdale
potts-grove,pa,33,Potts Grove
pottstown,pa,23451,Pottstown
pottsville,pa,13360,Pottsville
poyntelle,pa,92,Poyntelle
presto,pa,1635,Presto
preston-park,pa,141,Preston Park
pricedale,pa,44,Pricedale
pringle,pa,894,Pringle
prompton,pa,237,Prompton
prospect,pa,1107,Prospect
prospect-park,pa,6398,Prospect Park
prosperity,pa,1490,Prosperity
pulaski,pa,1979,Pulaski
punxsutawney,pa,5680,Punxsutawney
quakake,pa,222,Quakake
quakertown,pa,9337,Quakertown
quarryville,pa,2855,Quarryville
quecreek,pa,81,Quecreek
queen,pa,78,Queen
quincy,pa,471,Quincy
railroad,pa,259,Railroad
rainsburg,pa,138,Rainsburg
ralston,pa,260,Ralston
ramey,pa,431,Ramey
rankin,pa,1868,Rankin
reading,pa,94940,Reading
rebersburg,pa,1522,Rebersburg
rebuck,pa,191,Rebuck
rector,pa,376,Rector
red-hill,pa,2497,Red Hill
red-lion,pa,6503,Red Lion
reedsville,pa,4699,Reedsville
refton,pa,0,Refton
rehrersburg,pa,625,Rehrersburg
reinholds,pa,7460,Reinholds
renfrew,pa,3478,Renfrew
reno,pa,550,Reno
renovo,pa,1061,Renovo
republic,pa,1020,Republic
revloc,pa,663,Revloc
rew,pa,225,Rew
reynoldsville,pa,2528,Reynoldsville
rheems,pa,212,Rheems
rices-landing,pa,413,Rices Landing
richboro,pa,10635,Richboro
richeyville,pa,1111,Richeyville
richfield,pa,2144,Richfield
richland,pa,1499,Richland
richlandtown,pa,1353,Richlandtown
riddlesburg,pa,194,Riddlesburg
ridgway,pa,4004,Ridgway
ridley-park,pa,7157,Ridley Park
riegelsville,pa,848,Riegelsville
rillton,pa,528,Rillton
rimersburg,pa,938,Rimersburg
ringgold,pa,180,Ringgold
ringtown,pa,723,Ringtown
riverside,pa,2037,Riverside
rixford,pa,631,Rixford
roaring-branch,pa,1266,Roaring Branch
roaring-spring,pa,2359,Roaring Spring
robertsdale,pa,581,Robertsdale
robesonia,pa,2104,Robesonia
robinson,pa,683,Robinson
rochester,pa,3438,Rochester
rochester-mills,pa,908,Rochester Mills
rock-glen,pa,211,Rock Glen
rockhill,pa,376,Rockhill
rockhill-furnace,pa,351,Rockhill Furnace
rockledge,pa,2625,Rockledge
rockton,pa,853,Rockton
rockwood,pa,842,Rockwood
rogersville,pa,173,Rogersville
rome,pa,386,Rome
ronco,pa,39,Ronco
ronks,pa,3824,Ronks
roscoe,pa,713,Roscoe
rose-valley,pa,1016,Rose Valley
roseto,pa,1576,Roseto
roseville,pa,176,Roseville
rossiter,pa,1656,Rossiter
rosslyn-farms,pa,436,Rosslyn Farms
roulette,pa,1131,Roulette
rouseville,pa,454,Rouseville
rouzerville,pa,78,Rouzerville
rowland,pa,34,Rowland
roxbury,pa,35,Roxbury
royalton,pa,1135,Royalton
royersford,pa,4930,Royersford
ruffs-dale,pa,2501,Ruffs Dale
rural-ridge,pa,30,Rural Ridge
rural-valley,pa,824,Rural Valley
russell,pa,3670,Russell
russellton,pa,916,Russellton
rutledge,pa,782,Rutledge
sabinsville,pa,374,Sabinsville
sacramento,pa,302,Sacramento
sadsburyville,pa,159,Sadsburyville
saegertown,pa,865,Saegertown
sagamore,pa,268,Sagamore
saint-benedict,pa,436,Saint Benedict
saint-boniface,pa,100,Saint Boniface
saint-clair,pa,2758,Saint Clair
saint-clairsville,pa,76,Saint Clairsville
saint-lawrence,pa,1891,Saint Lawrence
saint-marys,pa,12643,Saint Marys
saint-michael,pa,492,Saint Michael
saint-petersburg,pa,336,Saint Petersburg
saint-thomas,pa,3661,Saint Thomas
salina,pa,222,Salina
salisbury,pa,703,Salisbury
salix,pa,1235,Salix
salladasburg,pa,249,Salladasburg
saltillo,pa,310,Saltillo
saltsburg,pa,768,Saltsburg
sandy-lake,pa,646,Sandy Lake
sandy-ridge,pa,301,Sandy Ridge
sankertown,pa,627,Sankertown
sarver,pa,8548,Sarver
sassamansville,pa,60,Sassamansville
saxonburg,pa,1413,Saxonburg
saxton,pa,720,Saxton
saylorsburg,pa,11453,Saylorsburg
sayre,pa,5462,Sayre
scalp-level,pa,738,Scalp Level
scenery-hill,pa,1710,Scenery Hill
schaefferstown,pa,424,Schaefferstown
schellsburg,pa,326,Schellsburg
schenley,pa,209,Schenley
schnecksville,pa,7543,Schnecksville
schuylkill-haven,pa,5248,Schuylkill Haven
schwenksville,pa,1293,Schwenksville
sciota,pa,1087,Sciota
scotland,pa,531,Scotland
scotrun,pa,1468,Scotrun
scottdale,pa,4395,Scottdale
scranton,pa,76141,Scranton
seanor,pa,161,Seanor
selinsgrove,pa,5697,Selinsgrove
sellersville,pa,4559,Sellersville
seltzer,pa,388,Seltzer
seminole,pa,113,Seminole
seneca,pa,3138,Seneca
seven-fields,pa,2891,Seven Fields
seven-springs,pa,27,Seven Springs
seven-valleys,pa,479,Seven Valleys
seward,pa,407,Seward
sewickley,pa,3864,Sewickley
sewickley-heights,pa,846,Sewickley Heights
sewickley-hills,pa,695,Sewickley Hills
shade-gap,pa,79,Shade Gap
shamokin,pa,6897,Shamokin
shamokin-dam,pa,1646,Shamokin Dam
shanksville,pa,194,Shanksville
sharon,pa,13067,Sharon
sharon-hill,pa,5984,Sharon Hill
sharpsburg,pa,3146,Sharpsburg
sharpsville,pa,4226,Sharpsville
shartlesville,pa,291,Shartlesville
shavertown,pa,8863,Shavertown
shawnee-on-delaware,pa,0,Shawnee On Delaware
sheakleyville,pa,149,Sheakleyville
sheffield,pa,1535,Sheffield
shelocta,pa,101,Shelocta
shenandoah,pa,4245,Shenandoah
sheppton,pa,492,Sheppton
shermans-dale,pa,5410,Shermans Dale
shickshinny,pa,630,Shickshinny
shillington,pa,5464,Shillington
shinglehouse,pa,1096,Shinglehouse
shippensburg,pa,5516,Shippensburg
shippenville,pa,439,Shippenville
shippingport,pa,157,Shippingport
shiremanstown,pa,1646,Shiremanstown
shirleysburg,pa,138,Shirleysburg
shoemakersville,pa,1357,Shoemakersville
shohola,pa,3603,Shohola
shrewsbury,pa,3843,Shrewsbury
shunk,pa,442,Shunk
sidman,pa,2246,Sidman
sigel,pa,1212,Sigel
silverdale,pa,804,Silverdale
sinking-spring,pa,4273,Sinking Spring
sinnamahoning,pa,119,Sinnamahoning
sipesville,pa,111,Sipesville
six-mile-run,pa,625,Six Mile Run
skippack,pa,386,Skippack
skytop,pa,86,Skytop
slate-run,pa,42,Slate Run
slatedale,pa,550,Slatedale
slatington,pa,4284,Slatington
slickville,pa,460,Slickville
sligo,pa,679,Sligo
